"geocode","city","type of sell","average market price"
"29285","TREFLAOUENAN","Maison","1271"
"35059","LA CHAPELLE DES FOUGERETZ","Maison","3487"
"35238","RENNES","Maison","4527"
"35278","SAINT-GREGOIRE","Maison","3383"
"35032","BOURGBARRE","Maison","2150"
"35001","ACIGNE","Maison","2467"
"35210","PACE","Maison","2798"
"35189","MONTGERMONT","Maison","2698"
"35208","ORGERES","Maison","2156"
"35281","ST JACQUES DE LA LANDE","Maison","3474"
"35047","BRUZ","Maison","3115"
"35051","CESSON-SEVIGNE","Maison","3403"
"35024","BETTON","Maison","2862"
"35055","CHANTEPIE","Maison","2726"
"35363","PONT-PEAN","Maison","2202"
"35216","PARTHENAY-DE-BRETAGNE","Maison","2227"
"35353","VEZIN-LE-COQUET","Maison","3085"
"35266","SAINT-ERBLON","Maison","2207"
"35206","NOYAL-CHATILLON-SUR-SEICHE","Maison","2554"
"35352","VERN-SUR-SEICHE","Maison","2741"
"35120","GEVEZE","Maison","2302"
"35066","CHARTRES-DE-BRETAGNE","Maison","2825"
"35193","MONTREUIL-LE-GAST","Maison","2073"
"35099","DOMLOUP","Maison","2242"
"35195","MONTREUIL-SUR-ILLE","Maison","1698"
"35196","MORDELLES","Maison","2472"
"35133","IFFENDIC","Maison","1794"
"35136","JANZE","Maison","1833"
"35028","BOISTRUDAN","Maison","1329"
"35031","LA BOUEXIERE","Maison","2001"
"35152","LIFFRE","Maison","2265"
"35184","MONTAUBAN-DE-BRETAGNE","Maison","1808"
"35177","LA MEZIERE","Maison","2651"
"35117","GAEL","Maison","1079"
"35297","SAINT-MEEN-LE-GRAND","Maison","1360"
"35079","CHEVAIGNE","Maison","2523"
"35143","LANDUJAN","Maison","1633"
"35173","MELESSE","Maison","2598"
"35233","QUEBRIAC","Maison","1856"
"35058","LA CHAPELLE CHAUSSEE","Maison","1932"
"35274","SAINT-GERMAIN-SUR-ILLE","Maison","2151"
"35002","AMANLIS","Maison","1809"
"35088","CORPS-NUDS","Maison","2041"
"35234","QUEDILLAC","Maison","1588"
